SampleID	BarcodeSequence	LinkerPrimerSequence	original_ID	env_feature	env_biome	scientific_name	life_stage	LifestyleSpecies	description	study	ANCOM_random
13566.03F.SRR8774487	NA	NA	03F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.04F.SRR8774486	NA	NA	04F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.05F.SRR8774485	NA	NA	05F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.06F.SRR8774484	NA	NA	06F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.07F.SRR8774483	NA	NA	07F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.08F.SRR8774482	NA	NA	08F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.09F.SRR8774491	NA	NA	09F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.10F.SRR8774490	NA	NA	10F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.11F.SRR8774407	NA	NA	11F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.13F.SRR8774409	NA	NA	13F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
13566.14F.SRR8774408	NA	NA	14F	CoyoteFeces	Peri-urban coyote fecal samples	Canis latrans	coyote	RuralCoyote	Peri-urban coyote fecal samples	coyote	Rural
